Term,Frequency
war,122
people,108
army,86
time,68
men,65
government,59
russia,58
world,56
russians,55
union,55
party,54
years,52
state,51
country,51
germans,48
power,48
man,40
workers,38
labor,38
americans,37
states,36
way,35
year,35
life,34
women,34
production,32
policy,32
fact,30
order,28
part,28
