Term,Frequency
was,488
is,437
be,379
had,250
were,208
are,155
have,127
has,114
been,108
have,79
did,66
said,63
do,48
make,38
made,37
i,34
told,34
being,33
take,32
made,30
give,28
do,27
asked,27
know,26
went,26
get,22
thought,21
done,21
wanted,20
came,20
