Term,Frequency
미국,214
소련,142
전쟁,137
자유,111
영국,108
계획,80
세계,77
국가,76
구주,70
경제,61
주의,59
정책,54
평화,51
사람,48
문제,48
사실,47
정부,44
생산,39
대전,38
소연방,37
목적,35
중요,35
제도,34
파괴,34
부흥,33
지출,32
때문,32
현재,31
정치,31
생각,31
