Term,Frequency
하,3964
는,3604
이,3581
의,2889
ㄴ,2722
다,2612
을,2405
에,2388
은,2346
고,1580
것,1490
있,1403
그,1329
를,1202
었,1130
ㄹ,1040
들,957
되,944
가,904
에서,644
나,641
어,604
지,599
여,524
도,524
였,520
으로,485
로,475
과,451
수,405
