Term,Frequency
없,283
같,164
많,106
크,99
아니,97
어떻,57
이러하,50
그렇,46
좋,44
그러하,38
새롭,30
적,30
붉,25
어떠하,24
만하,19
싶,18
안되,17
들,17
이렇,16
길,16
젊,15
가깝,15
없다,15
다르,14
높,14
파랗,13
어렵,13
깊,8
조그맣,8
어리,7
