Term,Frequency
것,1490
소련,395
수,363
미국,244
사람,228
때,168
일,161
말,155
독일,144
정부,143
전쟁,127
전,125
루,112
소비,110
생각,107
러시아,104
국가,103
스탈린,102
마니아,97
년,94
주의,94
중,88
미국인,86
계획,85
신문,84
사실,83
공장,82
바,76
자유,76
지방,75
