Term,Frequency
이,1780
있,735
있,661
하,559
않,366
되,362
대하,230
보,211
가지,171
말하,156
알,153
위하,131
받,124
그러,101
그리,100
가,90
관하,87
오,74
의하,73
아니,69
보이,63
듣,61
주,61
트,56
살,54
주,51
쓰,51
지,51
그,49
믿,49
