Term,Frequency
대하,230
가지,171
말하,156
위하,131
그러,101
그리,100
관하,87
의하,73
보이,63
따르,47
만들,44
모르,37
가르,34
이르,31
일어나,30
버리,29
통하,28
놀라,28
나오,28
좋아하,26
느끼,25
부르,24
나타나,23
싸우,21
들어가,20
돌아오,20
원하,20
말미암,20
지나,20
취하,19
