Term,Frequency
소련,395
미국,244
사람,228
독일,144
정부,143
전쟁,127
소비,110
생각,107
러시아,104
국가,103
스탈린,102
마니아,97
주의,94
미국인,86
계획,85
신문,84
사실,83
공장,82
자유,76
지방,75
공업,75
노동자,73
흑인,73
세계,68
내가,66
때문,66
일본,65
적군,64
생산,62
이해,61
