Term,Frequency
united,134
soviet,101
japanese,77
american,66
economic,51
other,49
general,38
military,38
great,37
free,36
foreign,36
european,32
many,30
own,30
new,30
such,29
first,27
british,27
more,23
political,23
i,22
present,21
russian,21
national,20
few,18
possible,17
same,17
atomic,17
western,16
necessary,16
