Term,Frequency
i,281
war,159
president,130
policy,95
world,91
state,89
states,79
people,74
government,72
peace,70
mr,68
russia,66
secretary,60
time,56
nations,55
council,54
department,53
stalin,44
years,41
security,39
conference,39
energy,39
power,38
party,37
day,37
moscow,36
men,36
bomb,36
control,34
work,34
