Term,Frequency
said,57
saw,39
know,38
told,37
seemed,33
made,29
given,29
make,28
believe,25
say,24
asked,24
taken,22
came,21
went,21
russia,18
think,17
used,17
took,17
left,16
built,16
see,16
found,16
seen,16
fighting,15
take,15
want,15
find,15
began,15
understand,15
living,15
