Term,Frequency
그렇,61
이러하,51
이렇,32
그러하,27
만하,24
어떠하,18
어떻,17
없다,15
다르,10
무섭,10
어렵,7
안되,7
커다랗,6
가깝,6
빠르,5
새롭,5
날카롭,3
드물,3
지나치,3
어리,3
바쁘,3
딱하,2
아무렇,2
못하,2
서럽,2
아름답,2
진정하,2
놀랍,2
무덥,2
수많,2
