topic_id,topic_word,prob
0,소련,0.01421291846781969
0,미국,0.01202171016484499
0,대하,0.007938374765217304
0,위하,0.007257497403770685
0,대통령,0.007247214671224356
0,그것,0.00712782796472311
0,가지,0.006282665301114321
0,사람,0.006129837594926357
0,말하,0.006072684656828642
0,스탈린,0.005337385926395655
0,문제,0.005307611543685198
0,정부,0.005295743700116873
0,세계,0.004417842719703913
0,국민,0.0043718633241951466
0,그러,0.004283852409571409
0,모든,0.004047072492539883
0,사실,0.003756348742172122
0,외교,0.003681123023852706
0,전쟁,0.003639159258455038
0,생각,0.0036216028966009617
0,결정,0.0035472882445901632
0,원자력,0.0035298916045576334
0,때문,0.0034467086661607027
0,혁명,0.003206539200618863
0,못하,0.0030986852943897247
0,계획,0.00309423403814435
0,러시아,0.0030199349857866764
0,필요,0.0029953615739941597
0,점령,0.0028998053167015314
0,회의,0.0028046409133821726
1,소련,0.015022778883576393
1,미국,0.014403270557522774
1,대통령,0.008731335401535034
1,대하,0.007870794273912907
1,그것,0.007677706889808178
1,사람,0.006098042707890272
1,스탈린,0.005932042840868235
1,말하,0.005716230720281601
1,점령,0.005100478883832693
1,가지,0.005014474503695965
1,정부,0.004997296258807182
1,세계,0.004862128756940365
1,문제,0.004858631175011396
1,결정,0.004762333817780018
1,생각,0.004463801626116037
1,위하,0.004463003948330879
1,정책,0.004374704789370298
1,사실,0.003871823661029339
1,일본,0.0036199972964823246
1,계획,0.0035554631613194942
1,전쟁,0.0035331016406416893
1,독일,0.003452648175880313
1,국민,0.003419403452426195
1,때문,0.0034051125403493643
1,그러,0.003345692763105035
1,러시아,0.0033064933959394693
1,그렇,0.003274447750300169
1,못하,0.003096760716289282
1,원조,0.003027532948181033
1,장관,0.002939220517873764
2,미국,0.020749960094690323
2,중국,0.008584119379520416
2,정부,0.007832140661776066
2,대하,0.0072833336889743805
2,소련,0.0072680748999118805
2,위하,0.005876025650650263
2,그것,0.005697139073163271
2,국가,0.005596925038844347
2,원조,0.005594116169959307
2,국민,0.005520063452422619
2,일본,0.00548773817718029
2,정책,0.00518319196999073
2,말하,0.00514324102550745
2,가지,0.004996733274310827
2,사람,0.0049934531562030315
2,대통령,0.0048987907357513905
2,문제,0.00483956141397357
2,아세아,0.0047530182637274265
2,외교,0.004613914992660284
2,생각,0.004598486237227917
2,스탈린,0.004469068255275488
2,그렇,0.0043008034117519855
2,주의,0.004153282847255468
2,세계,0.004105075262486935
2,전쟁,0.004076637327671051
2,공산주의,0.0039029279723763466
2,때문,0.0037372633814811707
2,평화,0.0035639822017401457
2,자유,0.0034371099900454283
2,한국,0.0033603545743972063
3,미국,0.013512092642486095
3,소련,0.00858714897185564
3,대하,0.007151988800615072
3,대통령,0.006908584851771593
3,스탈린,0.006254699546843767
3,가지,0.006126970052719116
3,그것,0.005709017161279917
3,위하,0.005580125376582146
3,전쟁,0.0050789532251656055
3,모든,0.005006768275052309
3,정부,0.004921833518892527
3,문제,0.004846350755542517
3,그러,0.004785606637597084
3,못하,0.004671366419643164
3,국가,0.004495386034250259
3,원조,0.004161129239946604
3,생각,0.004133750218898058
3,평화,0.00396062433719635
3,결정,0.003878813935443759
3,세계,0.0038558258675038815
3,국민,0.0037597629707306623
3,말하,0.003653809428215027
3,사실,0.003577195107936859
3,그렇,0.0034933695569634438
3,때문,0.0034268295858055353
3,계획,0.003403850831091404
3,사람,0.003216190030798316
3,필요,0.0030867806635797024
3,정책,0.0029643087182193995
3,회의,0.0028492663986980915
4,미국,0.012366719543933868
4,대통령,0.008752791211009026
4,소련,0.00804666243493557
4,대하,0.006842829752713442
4,그것,0.006039173807948828
4,문제,0.005491453688591719
4,사람,0.005314725451171398
4,말하,0.004980339203029871
4,가지,0.00496690021827817
4,계획,0.003921171184629202
4,생각,0.003915952052921057
4,못하,0.003645361168310046
4,위하,0.003552551381289959
4,국민,0.003539873054251075
4,그러,0.003373360726982355
4,전쟁,0.003313401946797967
4,사실,0.003225949825718999
4,결정,0.003137975698336959
4,모스크,0.003115148516371846
4,필요,0.0030339856166392565
4,국가,0.003016127273440361
4,정부,0.002967297099530697
4,일본,0.0029178818222135305
4,달러,0.002889236668124795
4,원조,0.002804654184728861
4,아직,0.002771947765722871
4,회의,0.0027342340908944607
4,주의,0.0027010843623429537
4,정책,0.002622520085424185
4,때문,0.0026160136330872774
5,미국,0.016115814447402954
5,소련,0.014596971683204174
5,대하,0.006950999144464731
5,문제,0.006636439356952906
5,대통령,0.005820775870233774
5,사람,0.005690679885447025
5,외교,0.005457995925098658
5,가지,0.005196711979806423
5,그것,0.005172611679881811
5,국민,0.00490532536059618
5,말하,0.004839472007006407
5,정부,0.004675736650824547
5,점령,0.004675628617405891
5,위하,0.004291487857699394
5,못하,0.004237873945385218
5,생각,0.004231793340295553
5,정책,0.00418683048337698
5,그러,0.003986723721027374
5,러시아,0.0038023111410439014
5,중국,0.0037289706524461508
5,사실,0.0037096738815307617
5,세계,0.0035597041714936495
5,때문,0.0034664757549762726
5,전쟁,0.00338167417794466
5,회의,0.003246850101277232
5,독일,0.0031840200535953045
5,그렇,0.003122684545814991
5,결정,0.0030984198674559593
5,계획,0.003074673004448414
5,장관,0.003060103626921773
6,소련,0.01858024299144745
6,대하,0.010151343420147896
6,가지,0.008205372840166092
6,미국,0.008023113943636417
6,스탈린,0.006864000111818314
6,대통령,0.0067052217200398445
6,그것,0.006464304868131876
6,위하,0.005878018215298653
6,그러,0.004833330400288105
6,사람,0.004627102054655552
6,정부,0.00448203319683671
6,국가,0.004334356635808945
