Term,Frequency
하,2884
이,2485
의,1931
는,1780
ㄴ,1754
다,1636
에,1533
을,1511
은,1211
것,1039
고,849
있,844
었,830
를,743
ㄹ,742
되,619
가,569
그,563
지,424
들,423
도,381
으로,371
어,369
에서,345
로,328
과,313
게,295
어서,291
미국,289
수,288
