Term,Frequency
미국,289
소련,243
대하,176
대통령,134
그것,127
가지,117
위하,110
스탈린,105
사람,104
문제,103
정부,100
말하,96
전쟁,90
국민,87
세계,86
정책,81
생각,79
그러,78
국가,75
때문,73
못하,69
계획,69
사실,68
결정,65
일본,63
중국,63
원조,63
그렇,62
러시아,61
모든,61
