Term,Frequency
없,214
같,97
아니,67
그렇,61
이러하,51
크,42
이렇,32
많,29
그러하,27
만하,24
어떠하,18
좋,18
어떻,17
없다,15
있,11
다르,10
무섭,10
높,9
적,7
어렵,7
안되,7
늦,6
커다랗,6
가깝,6
빠르,5
새롭,5
싶,4
들,4
슬,4
짧,4
