Term,Frequency
war,171
united,136
states,120
soviet,101
japanese,84
world,79
american,67
mr,66
government,64
one,63
peace,61
nations,53
economic,51
europe,50
president,50
japan,47
union,44
us,44
far,43
russia,43
two,42
made,42
time,42
even,42
years,41
molotov,41
china,39
first,38
general,38
military,38
