Term,Frequency
소련,402
미국,244
가지,233
대하,230
사람,228
말하,156
독일,144
정부,143
그것,143
위하,131
전쟁,127
소비,110
그리,108
모든,107
생각,107
못하,106
러시아,104
국가,103
스탈린,102
그러,101
마니아,97
주의,94
관하,87
미국인,86
계획,85
신문,84
사실,83
가장,83
공장,82
자유,76
