Term,Frequency
미국,214
대하,153
소련,143
전쟁,137
자유,111
영국,108
그것,83
계획,80
세계,77
위하,76
국가,76
구주,70
경제,61
주의,59
가지,58
정책,54
평화,51
사람,48
문제,48
그러,48
사실,47
정부,44
모든,42
현재,39
생산,39
대전,38
소연방,37
의하,36
못하,35
목적,35
