Term,Frequency
것,778
미국,214
수,172
소련,142
전쟁,137
자유,111
영국,108
계획,80
세계,77
국가,76
구주,70
경제,61
주의,59
씨,57
때,57
정책,54
전,53
평화,51
년,49
사람,48
문제,48
사실,47
바,46
몰,45
정부,44
토,44
중,43
일,40
생산,39
대전,38
