Term,Frequency
대하,153
위하,75
그러,48
가지,43
의하,36
관하,30
말하,30
그리,21
이르,18
보이,18
통하,16
비하,14
달하,12
인하,12
따르,11
모르,10
가져오,10
일어나,9
가하,8
이러,8
바라,8
미치,7
만들,7
피하,7
행하,7
걸치,6
다하,6
구하,6
나타나,6
버리,6
