Topics,Alpha,Eta,Coherence
4,0.001,0.08,0.3312679561973084
4,0.001,0.09,0.3312679561973084
4,0.001,0.1,0.3312679561973084
4,0.002,0.01,0.3312679561973084
4,0.002,0.02,0.3312679561973084
4,0.002,0.03,0.3312679561973084
4,0.002,0.04,0.3312679561973084
4,0.002,0.05,0.3312679561973084
4,0.002,0.06,0.3312679561973084
4,0.002,0.07,0.3312679561973084
4,0.002,0.08,0.3312679561973084
4,0.002,0.09,0.3312679561973084
4,0.002,0.1,0.3312679561973084
4,0.003,0.01,0.3312679561973084
4,0.003,0.02,0.3312679561973084
4,0.003,0.03,0.3312679561973084
4,0.003,0.04,0.3312679561973084
4,0.003,0.05,0.3312679561973084
4,0.003,0.06,0.3312679561973084
4,0.003,0.07,0.3312679561973084
4,0.003,0.08,0.3312679561973084
4,0.003,0.09,0.3312679561973084
4,0.003,0.1,0.3312679561973084
4,0.004,0.01,0.3312679561973084
4,0.004,0.02,0.3312679561973084
4,0.004,0.03,0.3312679561973084
4,0.004,0.04,0.3312679561973084
4,0.004,0.05,0.3312679561973084
4,0.004,0.06,0.3312679561973084
4,0.004,0.07,0.3312679561973084
4,0.004,0.08,0.3312679561973084
4,0.004,0.09,0.3312679561973084
4,0.004,0.1,0.3312679561973084
4,0.005,0.01,0.3312679561973084
4,0.005,0.02,0.3312679561973084
4,0.005,0.03,0.3312679561973084
4,0.005,0.04,0.3312679561973084
4,0.005,0.05,0.3312679561973084
4,0.005,0.06,0.3312679561973084
4,0.005,0.07,0.3312679561973084
4,0.005,0.08,0.3312679561973084
4,0.005,0.09,0.3312679561973084
4,0.005,0.1,0.3312679561973084
4,0.006,0.01,0.3312679561973084
4,0.006,0.02,0.3312679561973084
4,0.006,0.03,0.3312679561973084
4,0.006,0.04,0.3312679561973084
4,0.006,0.05,0.3312679561973084
4,0.006,0.06,0.3312679561973084
4,0.006,0.07,0.3312679561973084
4,0.006,0.08,0.3312679561973084
4,0.006,0.09,0.3312679561973084
4,0.006,0.1,0.3312679561973084
4,0.007,0.01,0.3312679561973084
4,0.007,0.02,0.3312679561973084
4,0.007,0.03,0.3312679561973084
4,0.007,0.04,0.3312679561973084
4,0.007,0.05,0.3312679561973084
4,0.007,0.06,0.3312679561973084
4,0.007,0.07,0.3312679561973084
4,0.007,0.08,0.3312679561973084
4,0.007,0.09,0.3312679561973084
4,0.007,0.1,0.3312679561973084
4,0.008,0.01,0.3312679561973084
4,0.008,0.02,0.3312679561973084
4,0.008,0.03,0.3312679561973084
4,0.008,0.04,0.3312679561973084
4,0.008,0.05,0.3312679561973084
4,0.008,0.06,0.3312679561973084
4,0.008,0.07,0.3312679561973084
4,0.008,0.08,0.3312679561973084
4,0.008,0.09,0.3312679561973084
4,0.008,0.1,0.3312679561973084
4,0.009000000000000001,0.01,0.3312679561973084
4,0.009000000000000001,0.02,0.3312679561973084
4,0.009000000000000001,0.03,0.3312679561973084
4,0.009000000000000001,0.04,0.3312679561973084
4,0.009000000000000001,0.05,0.3312679561973084
4,0.009000000000000001,0.06,0.3312679561973084
4,0.009000000000000001,0.07,0.3312679561973084
4,0.009000000000000001,0.08,0.3312679561973084
4,0.009000000000000001,0.09,0.3312679561973084
4,0.009000000000000001,0.1,0.3312679561973084
4,0.01,0.01,0.3312679561973084
4,0.01,0.02,0.3312679561973084
4,0.01,0.03,0.3312679561973084
4,0.01,0.04,0.3312679561973084
4,0.01,0.05,0.3312679561973084
4,0.01,0.06,0.3312679561973084
4,0.01,0.07,0.3312679561973084
4,0.01,0.08,0.3312679561973084
4,0.01,0.09,0.3312679561973084
4,0.01,0.1,0.3312679561973084
5,0.001,0.01,0.34487624174888987
5,0.001,0.02,0.34487624174888987
5,0.001,0.03,0.3431900708852089
5,0.001,0.04,0.3408717958630917
5,0.001,0.05,0.3408717958630917
5,0.001,0.06,0.33801740302711875
5,0.001,0.07,0.34418925155842317
5,0.001,0.08,0.34418925155842317
5,0.001,0.09,0.34418925155842317
5,0.001,0.1,0.3348421385833408
5,0.002,0.01,0.34487624174888987
5,0.002,0.02,0.34487624174888987
5,0.002,0.03,0.3431900708852089
5,0.002,0.04,0.3408717958630917
5,0.002,0.05,0.3408717958630917
5,0.002,0.06,0.33801740302711875
5,0.002,0.07,0.34418925155842317
5,0.002,0.08,0.34418925155842317
5,0.002,0.09,0.34418925155842317
5,0.002,0.1,0.3348421385833408
5,0.003,0.01,0.34487624174888987
5,0.003,0.02,0.34487624174888987
5,0.003,0.03,0.3431900708852089
5,0.003,0.04,0.3408717958630917
5,0.003,0.05,0.3408717958630917
5,0.003,0.06,0.33801740302711875
5,0.003,0.07,0.34418925155842317
5,0.003,0.08,0.34418925155842317
5,0.003,0.09,0.34418925155842317
5,0.003,0.1,0.3348421385833408
5,0.004,0.01,0.34487624174888987
5,0.004,0.02,0.34487624174888987
5,0.004,0.03,0.3431900708852089
5,0.004,0.04,0.3408717958630917
5,0.004,0.05,0.3408717958630917
5,0.004,0.06,0.33801740302711875
5,0.004,0.07,0.34418925155842317
5,0.004,0.08,0.34418925155842317
5,0.004,0.09,0.34418925155842317
5,0.004,0.1,0.3348421385833408
5,0.005,0.01,0.34487624174888987
5,0.005,0.02,0.34487624174888987
5,0.005,0.03,0.3431900708852089
5,0.005,0.04,0.3408717958630917
5,0.005,0.05,0.3408717958630917
5,0.005,0.06,0.33801740302711875
5,0.005,0.07,0.34418925155842317
5,0.005,0.08,0.34418925155842317
5,0.005,0.09,0.34418925155842317
5,0.005,0.1,0.3348421385833408
5,0.006,0.01,0.34487624174888987
5,0.006,0.02,0.34487624174888987
5,0.006,0.03,0.3431900708852089
5,0.006,0.04,0.3408717958630917
5,0.006,0.05,0.3408717958630917
5,0.006,0.06,0.33801740302711875
5,0.006,0.07,0.34418925155842317
5,0.006,0.08,0.34418925155842317
5,0.006,0.09,0.34418925155842317
5,0.006,0.1,0.3348421385833408
5,0.007,0.01,0.34487624174888987
5,0.007,0.02,0.34487624174888987
5,0.007,0.03,0.3431900708852089
5,0.007,0.04,0.3408717958630917
5,0.007,0.05,0.3408717958630917
5,0.007,0.06,0.33801740302711875
5,0.007,0.07,0.34418925155842317
5,0.007,0.08,0.34418925155842317
5,0.007,0.09,0.34418925155842317
5,0.007,0.1,0.3348421385833408
5,0.008,0.01,0.34487624174888987
5,0.008,0.02,0.34487624174888987
5,0.008,0.03,0.3431900708852089
5,0.008,0.04,0.3408717958630917
5,0.008,0.05,0.3408717958630917
5,0.008,0.06,0.33801740302711875
5,0.008,0.07,0.34418925155842317
5,0.008,0.08,0.34418925155842317
5,0.008,0.09,0.34418925155842317
5,0.008,0.1,0.3348421385833408
5,0.009000000000000001,0.01,0.34487624174888987
5,0.009000000000000001,0.02,0.34487624174888987
5,0.009000000000000001,0.03,0.3431900708852089
5,0.009000000000000001,0.04,0.3408717958630917
5,0.009000000000000001,0.05,0.3408717958630917
5,0.009000000000000001,0.06,0.33801740302711875
5,0.009000000000000001,0.07,0.34418925155842317
5,0.009000000000000001,0.08,0.34418925155842317
5,0.009000000000000001,0.09,0.34418925155842317
5,0.009000000000000001,0.1,0.3348421385833408
5,0.01,0.01,0.34487624174888987
5,0.01,0.02,0.34487624174888987
5,0.01,0.03,0.3431900708852089
5,0.01,0.04,0.3408717958630917
5,0.01,0.05,0.3408717958630917
5,0.01,0.06,0.33801740302711875
5,0.01,0.07,0.34418925155842317
5,0.01,0.08,0.34418925155842317
5,0.01,0.09,0.34418925155842317
5,0.01,0.1,0.3348421385833408
6,0.001,0.01,0.2702714751881879
6,0.001,0.02,0.2702714751881879
6,0.001,0.03,0.2702714751881879
6,0.001,0.04,0.2702714751881879
6,0.001,0.05,0.2702714751881879
6,0.001,0.06,0.2702714751881879
6,0.001,0.07,0.2702714751881879
6,0.001,0.08,0.2702714751881879
6,0.001,0.09,0.2702714751881879
6,0.001,0.1,0.2702714751881879
6,0.002,0.01,0.2702714751881879
6,0.002,0.02,0.2702714751881879
6,0.002,0.03,0.2702714751881879
6,0.002,0.04,0.2702714751881879
6,0.002,0.05,0.2702714751881879
6,0.002,0.06,0.2702714751881879
6,0.002,0.07,0.2702714751881879
6,0.002,0.08,0.2702714751881879
6,0.002,0.09,0.2702714751881879
6,0.002,0.1,0.2702714751881879
6,0.003,0.01,0.2702714751881879
6,0.003,0.02,0.2702714751881879
6,0.003,0.03,0.2702714751881879
6,0.003,0.04,0.2702714751881879
6,0.003,0.05,0.2702714751881879
6,0.003,0.06,0.2702714751881879
6,0.003,0.07,0.2702714751881879
6,0.003,0.08,0.2702714751881879
6,0.003,0.09,0.2702714751881879
6,0.003,0.1,0.2702714751881879
6,0.004,0.01,0.2702714751881879
6,0.004,0.02,0.2702714751881879
6,0.004,0.03,0.2702714751881879
6,0.004,0.04,0.2702714751881879
6,0.004,0.05,0.2702714751881879
6,0.004,0.06,0.2702714751881879
6,0.004,0.07,0.2702714751881879
6,0.004,0.08,0.2702714751881879
6,0.004,0.09,0.2702714751881879
6,0.004,0.1,0.2702714751881879
6,0.005,0.01,0.2702714751881879
6,0.005,0.02,0.2702714751881879
6,0.005,0.03,0.2702714751881879
6,0.005,0.04,0.2702714751881879
6,0.005,0.05,0.2702714751881879
6,0.005,0.06,0.2702714751881879
6,0.005,0.07,0.2702714751881879
6,0.005,0.08,0.2702714751881879
6,0.005,0.09,0.2702714751881879
6,0.005,0.1,0.2702714751881879
6,0.006,0.01,0.2702714751881879
6,0.006,0.02,0.2702714751881879
6,0.006,0.03,0.2702714751881879
6,0.006,0.04,0.2702714751881879
6,0.006,0.05,0.2702714751881879
6,0.006,0.06,0.2702714751881879
6,0.006,0.07,0.2702714751881879
6,0.006,0.08,0.2702714751881879
6,0.006,0.09,0.2702714751881879
6,0.006,0.1,0.2702714751881879
6,0.007,0.01,0.2702714751881879
6,0.007,0.02,0.2702714751881879
6,0.007,0.03,0.2702714751881879
6,0.007,0.04,0.2702714751881879
6,0.007,0.05,0.2702714751881879
6,0.007,0.06,0.2702714751881879
6,0.007,0.07,0.2702714751881879
6,0.007,0.08,0.2702714751881879
6,0.007,0.09,0.2702714751881879
6,0.007,0.1,0.2702714751881879
6,0.008,0.01,0.2702714751881879
6,0.008,0.02,0.2702714751881879
6,0.008,0.03,0.2702714751881879
6,0.008,0.04,0.2702714751881879
6,0.008,0.05,0.2702714751881879
6,0.008,0.06,0.2702714751881879
6,0.008,0.07,0.2702714751881879
6,0.008,0.08,0.2702714751881879
6,0.008,0.09,0.2702714751881879
6,0.008,0.1,0.2702714751881879
6,0.009000000000000001,0.01,0.2702714751881879
6,0.009000000000000001,0.02,0.2702714751881879
6,0.009000000000000001,0.03,0.2702714751881879
6,0.009000000000000001,0.04,0.2702714751881879
6,0.009000000000000001,0.05,0.2702714751881879
6,0.009000000000000001,0.06,0.2702714751881879
6,0.009000000000000001,0.07,0.2702714751881879
6,0.009000000000000001,0.08,0.2702714751881879
6,0.009000000000000001,0.09,0.2702714751881879
6,0.009000000000000001,0.1,0.2702714751881879
6,0.01,0.01,0.2702714751881879
6,0.01,0.02,0.2702714751881879
6,0.01,0.03,0.2702714751881879
6,0.01,0.04,0.2702714751881879
6,0.01,0.05,0.2702714751881879
6,0.01,0.06,0.2702714751881879
6,0.01,0.07,0.2702714751881879
6,0.01,0.08,0.2702714751881879
6,0.01,0.09,0.2702714751881879
6,0.01,0.1,0.2702714751881879
7,0.001,0.01,0.2993172048795551
7,0.001,0.02,0.2971695154180153
7,0.001,0.03,0.29716951541801534
7,0.001,0.04,0.2971695154180153
7,0.001,0.05,0.299769104877627
7,0.001,0.06,0.3096272141160273
7,0.001,0.07,0.3312611400589388
7,0.001,0.08,0.3290229868892675
7,0.001,0.09,0.27456652426039124
7,0.001,0.1,0.27456652426039124
7,0.002,0.01,0.2993172048795551
7,0.002,0.02,0.2971695154180153
7,0.002,0.03,0.29716951541801534
7,0.002,0.04,0.2971695154180153
7,0.002,0.05,0.299769104877627
7,0.002,0.06,0.3084380663350533
7,0.002,0.07,0.3312611400589388
7,0.002,0.08,0.3290229868892675
7,0.002,0.09,0.27456652426039124
7,0.002,0.1,0.27456652426039124
7,0.003,0.01,0.2993172048795551
7,0.003,0.02,0.2971695154180153
7,0.003,0.03,0.29716951541801534
7,0.003,0.04,0.2971695154180153
7,0.003,0.05,0.299769104877627
7,0.003,0.06,0.30684846745259214
7,0.003,0.07,0.3299284377309105
7,0.003,0.08,0.3290229868892675
7,0.003,0.09,0.27456652426039124
7,0.003,0.1,0.27456652426039124
7,0.004,0.01,0.2993172048795551
7,0.004,0.02,0.2971695154180153
7,0.004,0.03,0.29716951541801534
7,0.004,0.04,0.2971695154180153
7,0.004,0.05,0.299769104877627
7,0.004,0.06,0.30684846745259214
7,0.004,0.07,0.3299284377309105
7,0.004,0.08,0.3290229868892675
7,0.004,0.09,0.27456652426039124
7,0.004,0.1,0.27456652426039124
7,0.005,0.01,0.2993172048795551
7,0.005,0.02,0.2971695154180153
7,0.005,0.03,0.29716951541801534
7,0.005,0.04,0.2971695154180153
7,0.005,0.05,0.299769104877627
7,0.005,0.06,0.30684846745259214
7,0.005,0.07,0.3299284377309105
7,0.005,0.08,0.3290229868892675
7,0.005,0.09,0.27456652426039124
7,0.005,0.1,0.27456652426039124
7,0.006,0.01,0.2993172048795551
7,0.006,0.02,0.2971695154180153
7,0.006,0.03,0.29716951541801534
7,0.006,0.04,0.2971695154180153
7,0.006,0.05,0.299769104877627
7,0.006,0.06,0.30684846745259214
7,0.006,0.07,0.3299284377309105
7,0.006,0.08,0.3290229868892675
7,0.006,0.09,0.27456652426039124
7,0.006,0.1,0.27448974639521895
7,0.007,0.01,0.2993172048795551
7,0.007,0.02,0.2971695154180153
7,0.007,0.03,0.29716951541801534
7,0.007,0.04,0.2971695154180153
