Term,Frequency
soviet,197
one,177
american,131
new,127
war,122
people,108
army,96
russia,96
even,86
russian,80
red,79
many,76
german,73
russians,71
us,71
two,69
time,68
may,67
every,65
men,65
still,64
like,62
america,61
first,59
government,59
also,57
said,57
world,56
union,55
germany,54
