Term,Frequency
soviet,196
american,131
new,127
other,79
red,79
russian,78
many,76
german,69
own,62
i,59
such,59
more,52
political,52
first,47
same,47
few,45
old,44
great,42
good,41
industrial,40
most,39
little,37
much,35
military,33
rumanian,33
last,32
certain,29
united,29
general,28
japanese,27
