Term,Frequency
i,214
war,122
people,108
army,93
russia,76
time,68
men,65
russians,63
government,59
world,56
union,55
party,54
years,52
state,51
country,51
power,48
germans,47
america,43
americans,42
man,40
germany,39
workers,38
labor,38
states,37
way,35
year,35
life,34
women,34
production,32
policy,32
