Term,Frequency
is,606
was,471
are,334
had,288
be,263
were,228
been,199
have,190
has,183
said,57
have,56
saw,45
i,41
did,39
do,39
does,32
told,32
seemed,32
given,29
get,28
being,27
know,27
asked,26
made,24
find,23
do,23
taken,22
say,21
take,21
came,21
