word1,word2,freq
first,soviet,1187650
first,american,504499
first,new,484430
first,red,425513
first,russian,397028
first,many,309425
first,political,308604
first,industrial,236756
first,great,234558
first,good,224689
first,german,195890
first,old,195799
first,military,190011
first,polish,158687
first,foreign,157586
first,rumanian,156910
first,large,139757
first,japanese,136973
first,little,134026
first,general,128726
first,united,127283
first,nazi,126952
first,able,120105
first,last,119878
first,east,113763
first,long,110743
first,important,107877
first,certain,105772
first,high,104956
first,communist,100478
first,small,95856
first,second,93551
first,democratic,92426
first,official,90662
first,possible,89574
first,economic,88114
first,secret,87647
first,present,86852
first,eastern,85898
first,whole,85169
first,heavy,84543
first,real,83638
first,public,82068
first,western,81149
first,young,79409
first,main,78969
first,capitalist,76565
first,common,76154
first,local,73493
first,national,72116
first,former,70778
first,internal,68471
first,various,68453
first,free,67264
first,ukraine,66739
first,hard,66486
first,full,63042
first,socialist,63009
first,ten,62633
first,early,62117
first,least,61051
first,understand,60233
first,basic,59473
first,english,59322
first,human,58149
first,future,57567
first,next,57203
first,bad,57144
first,different,56169
first,central,55826
first,complete,55508
first,clear,55363
first,maidanek,55182
first,ussr,54658
first,white,53393
first,marxist,51280
first,modern,50681
first,average,50393
first,entire,49127
first,collective,49097
first,open,49084
first,stalin,47611
first,jewish,47379
first,vast,46768
first,personal,46334
first,safe,45633
first,international,45459
first,right,44282
first,major,44169
first,private,44040
first,mean,44023
first,less,43886
first,total,42967
first,inevitable,41974
first,strong,41297
first,big,40512
first,necessary,40297
first,ukrainian,40271
first,nkvd,39881
first,current,39343
first,responsible,39141
first,lublin,38805
first,front,38569
first,similar,38402
first,single,38349
first,third,38026
first,fellow,37986
first,several,37939
first,half,37752
first,wish,37741
first,likely,37668
first,fascist,36885
first,final,36714
first,universal,36116
first,know,35748
first,enough,35742
first,theoretical,35646
first,antonescu,35555
first,live,35128
first,chief,34849
first,social,34740
first,inner,34609
first,thirteen,34452
first,america,34283
first,unrra,34231
first,british,33568
american,soviet,33289
first,particular,32995
first,black,32935
first,domestic,32230
first,anglo,32225
first,chinese,32147
first,dangerous,32118
first,mvd,32020
first,impossible,31736
first,special,31366
first,simple,31355
first,vital,31247
first,middle,31231
first,deep,31016
first,poor,30916
first,practical,30424
first,reactionary,30252
first,powerful,29965
first,fair,29866
first,civilian,29689
first,tough,29266
first,short,28915
first,recent,28836
first,imperialist,28644
first,surprising,28611
first,aggressive,28522
first,exact,28499
first,west,28373
first,original,28312
first,easy,28139
first,commandant,28035
first,warsaw,28035
first,close,27775
first,considerable,27752
first,form,27520
first,peaceful,27291
first,available,27260
first,late,27208
first,fifteen,26858
first,potential,26751
first,atomic,26692
first,wear,26558
first,liberal,26476
first,daily,26448
first,true,26382
first,fourth,26374
first,huge,26341
first,finnish,26252
first,offensive,26046
first,kremlin,25922
first,london,25427
first,principal,25284
first,speak,24966
first,serious,24923
first,famous,24878
first,northern,24776
first,fight,24748
first,scap,24647
first,southern,24613
first,scientific,24276
first,strategic,24235
first,key,24200
first,un,24146
first,efficient,24090
first,european,23971
first,individual,23785
first,february,23744
first,ultimate,23648
first,enemy,23612
first,metallurgical,23508
first,joint,23490
first,native,23459
first,wide,23449
american,new,23199
first,direct,23170
first,electric,23150
first,light,23146
first,objective,23105
first,pattern,23077
first,bulk,22755
first,cold,22668
first,immediate,22530
first,appear,22506
first,equal,22374
first,grave,22372
first,nice,22358
first,civil,22273
first,capable,22148
first,pro,22119
first,french,21912
first,army,21907
first,obvious,21834
first,agree,21790
first,apparent,21754
first,moscow,21517
first,asiatic,21435
first,admiral,21355
first,anti,21332
first,agricultural,21246
first,fourteen,21242
first,north,21196
first,curious,21171
first,train,20922
first,give,20868
first,lead,20819
american,many,20757
first,low,20675
first,upsurge,20569
first,theory,20563
first,destroy,20555
first,adequate,20324
first,clean,20321
first,south,20182
first,mutual,20090
first,labour,20085
first,marxian,19974
first,molotov,19725
first,independent,19693
first,comparable,19624
first,wartime,19526
first,technical,19414
first,leningrad,19311
first,ordinary,19214
first,electrical,19110
first,behavior,18945
first,lack,18919
first,excellent,18681
first,external,18613
first,write,18543
first,plenty,18538
first,pre,18530
first,lenin,18508
first,detailed,18494
first,prior,18491
first,convince,18438
first,slight,18282
first,actual,18238
first,conservative,18177
first,gulag,18153
first,essential,18116
first,separate,18073
first,rapid,18046
first,grand,17995
first,strange,17879
first,due,17779
first,hungary,17773
first,teheran,17745
first,happen,17555
first,rich,17553
first,asia,17483
first,usual,17465
first,revolutionary,17430
first,successful,17417
first,fifty,17357
first,contrary,17269
first,strategical,17148
first,want,17026
first,medical,16979
first,administrative,16936
first,fifth,16927
first,specific,16851
first,scholen,16821
first,hostile,16648
first,slow,16545
first,answer,16444
first,negro,16405
first,act,16367
first,rubble,16203
first,impressive,16178
first,past,16005
first,astonishment,15949
first,lose,15725
first,marshal,15709
first,nineteen,15691
first,unlimited,15677
first,ask,15584
first,historic,15503
first,sure,15467
first,follow,15449
first,loose,15311
first,buchar,15299
first,come,15289
first,tight,15277
first,elementary,15274
first,note,15274
first,typical,15258
first,sixteen,15226
first,interesting,15204
first,totalitarian,15186
first,substantial,15102
first,newspaperman,15035
first,pacific,15027
first,bright,14977
first,indispensable,14906
first,botosani,14874
first,prefectural,14871
first,queen,14871
first,read,14836
first,well,14829
first,vulnerable,14706
first,press,14603
first,later,14582
first,proletarian,14568
first,formal,14568
first,dictionary,14399
first,willing,14394
first,minor,14394
first,extra,14360
first,wrong,14301
first,truman,14284
first,see,14254
first,worth,14245
first,classical,14221
first,sensitive,14212
first,republic,14201
first,build,14171
first,optimistic,14155
first,professional,14150
first,unable,14144
first,surprised,14129
first,broad,14084
first,difficult,14035
first,become,14035
first,define,14006
first,allied,14006
first,nihilist,14006
first,legal,14005
first,postwar,13939
first,annual,13866
first,unite,13847
first,propaganda,13846
first,learn,13806
first,iii,13786
first,seek,13700
first,atom,13624
first,cheap,13594
first,satellite,13566
first,accept,13566
first,lie,13566
first,vote,13566
first,nonferrous,13531
first,temporary,13495
first,purpose,13415
first,explain,13228
first,countless,13181
first,automatic,13148
first,systematic,13126
first,fundamental,13126
first,doubtful,13126
first,constant,13126
first,correct,13126
first,sort,13120
first,wild,13100
first,additional,13093
first,quiet,13077
first,prime,13050
first,permanent,13016
first,believe,12993
first,tell,12992
first,run,12976
first,significant,12903
first,double,12861
first,popular,12790
first,corp,12741
first,costly,12741
first,frantic,12741
first,intact,12741
first,spend,12713
first,busy,12656
first,justified,12631
first,familiar,12620
first,utmost,12610
first,prussian,12585
first,barrier,12581
first,talk,12535
first,japan,12430
first,settle,12388
first,defeat,12388
first,trust,12356
first,giant,12356
first,eager,12350
american,russian,12330
first,receive,12230
first,racial,12222
first,farm,12212
first,numerous,12205
first,gate,12196
first,narrow,12196
first,shoot,12196
first,list,12196
first,definite,12186
first,implicit,12170
first,supreme,12160
first,organic,12073
first,root,12060
first,decree,12051
first,hall,12036
first,respect,11994
first,soft,11964
first,library,11960
first,abolish,11960
first,teach,11960
first,sincere,11848
first,odd,11838
american,red,11832
first,financial,11831
first,fresh,11807
first,seem,11725
first,thirty,11641
first,wave,11625
first,foot,11625
american,good,11603
first,someday,11589
