Term,Frequency
the,3790
of,2265
and,1459
to,1448
in,1264
a,1201
is,606
that,559
was,471
for,470
it,459
with,370
i,369
are,334
as,333
not,316
he,312
on,301
had,294
they,289
by,284
but,273
be,263
have,246
from,241
which,234
were,228
this,214
at,211
been,199
