Term,Frequency
이러하,33
그렇,21
그러하,14
어떠하,11
이렇,9
가깝,9
새롭,7
진정하,7
어떻,7
만하,7
어렵,5
다르,5
없다,4
듯하,4
안되,3
약하,3
커다랗,2
틀림없,2
달르,2
심하,2
기쁘,1
쓰라리,1
어리석,1
아무렇,1
그릏,1
값싸,1
다름아니,1
억세,1
짓궂,1
한없,1
