Term,Frequency
없,108
같,54
아니,50
이러하,33
많,25
그렇,21
크,20
그러하,14
좋,12
어떠하,11
이렇,9
가깝,9
높,8
새롭,7
진정하,7
어떻,7
만하,7
깊,6
적,6
어렵,5
다르,5
멀,5
없다,4
듯하,4
안되,3
싶,3
약하,3
듣,2
쉽,2
들,2
