Term,Frequency
said,36
made,30
make,24
europe,18
agreed,16
believe,15
britain,14
made,12
told,12
came,11
left,11
asked,11
want,11
armed,11
based,10
means,10
remain,10
wanted,10
became,9
making,9
united,9
taken,9
see,9
take,9
mr,9
added,9
bombing,9
known,8
unitedstates,8
pointed,8
