word1,word2,freq
foreign,soviet,539450
foreign,united,434137
foreign,american,418420
foreign,atomic,328006
foreign,new,318500
foreign,military,252383
foreign,great,245245
foreign,general,224631
foreign,first,219649
foreign,many,201999
foreign,communist,195809
foreign,russian,192716
foreign,chinese,165553
foreign,free,162380
foreign,international,160854
foreign,japanese,155515
foreign,korean,149306
foreign,last,127301
foreign,possible,126685
foreign,white,125186
foreign,whole,121000
foreign,north,118449
foreign,necessary,113290
foreign,national,112283
foreign,mr.,108559
foreign,korea,108372
foreign,present,102705
foreign,south,97398
foreign,un,96514
foreign,common,95347
foreign,second,94972
foreign,short,94433
foreign,high,92818
foreign,good,90937
foreign,little,90826
foreign,public,90698
foreign,long,86823
foreign,economic,85973
foreign,strong,79194
foreign,asiatic,78962
foreign,certain,77463
foreign,political,74379
foreign,important,72347
foreign,moscow,68990
foreign,clear,66516
foreign,full,64042
foreign,large,63593
foreign,less,59604
foreign,navy,59482
foreign,several,58925
foreign,next,57851
foreign,effective,56433
foreign,early,55815
foreign,republic,55138
foreign,give,54802
foreign,bad,53912
foreign,west,53224
foreign,late,51670
foreign,pacific,51132
foreign,baruch,51076
foreign,western,50717
foreign,peaceful,50634
foreign,least,50558
foreign,able,50248
foreign,right,50169
foreign,secret,50145
foreign,various,50098
foreign,british,49991
foreign,serious,47843
foreign,sure,46097
foreign,dangerous,44786
foreign,internal,44748
foreign,small,44267
foreign,real,44186
foreign,old,43530
foreign,official,43183
foreign,sunday,42617
foreign,top,42048
foreign,third,40981
foreign,east,40973
foreign,russia,40893
foreign,domestic,40743
foreign,central,40287
foreign,stable,39786
foreign,cold,39759
foreign,joint,39567
foreign,naval,39380
foreign,u.s.s.r.,39344
foreign,ten,39042
foreign,representative,38637
foreign,european,38585
foreign,best,38312
foreign,immediate,37727
foreign,likely,37640
foreign,nationalist,37520
foreign,big,37380
foreign,subject,36677
foreign,congressional,36555
foreign,atlantic,35662
foreign,democratic,35344
foreign,similar,35297
foreign,monday,35232
foreign,washington,34481
foreign,difficult,34308
foreign,london,33999
foreign,apparent,33624
foreign,admiral,33301
foreign,brief,33170
foreign,future,32989
foreign,acheson,32935
foreign,critical,32922
foreign,red,32858
foreign,enough,32643
foreign,single,32356
foreign,ready,32311
foreign,essential,32190
foreign,technical,31787
foreign,japan,31576
foreign,easy,31320
foreign,german,31062
foreign,stalin,30955
foreign,tuesday,30768
foreign,scientific,30668
foreign,truman,30356
foreign,successful,29870
foreign,ultimate,29543
foreign,destructive,29275
foreign,young,29119
foreign,total,28757
foreign,diplomatic,28526
foreign,asia,28407
foreign,capable,28239
foreign,wrong,28198
foreign,willing,28137
foreign,previous,27864
foreign,human,27748
foreign,heavy,27115
foreign,regular,26874
foreign,chief,26781
foreign,responsible,26718
foreign,directive,26652
foreign,former,26298
foreign,wide,26298
foreign,major,26215
foreign,end,26112
foreign,india,26109
foreign,friday,25027
foreign,telecon,25026
foreign,true,24714
foreign,collective,24641
