Term,Frequency
war,159
president,130
policy,95
world,91
state,89
states,78
people,74
government,72
peace,69
mr,60
secretary,60
russia,58
time,56
nations,55
department,53
council,44
years,41
security,39
conference,39
energy,39
power,38
control,37
party,37
day,37
men,36
work,36
stalin,35
action,33
agreement,33
use,33
