Topics,Alpha,Eta,Coherence
2,0.001,0.01,0.29653169652606914
2,0.001,0.02,0.29653169652606914
2,0.001,0.03,0.29653169652606914
2,0.001,0.04,0.29653169652606914
2,0.001,0.05,0.29653169652606914
2,0.001,0.06,0.29653169652606914
2,0.001,0.07,0.29653169652606914
2,0.001,0.08,0.29653169652606914
2,0.001,0.09,0.29653169652606914
2,0.001,0.1,0.29653169652606914
2,0.002,0.01,0.29653169652606914
2,0.002,0.02,0.29653169652606914
2,0.002,0.03,0.29653169652606914
2,0.002,0.04,0.29653169652606914
2,0.002,0.05,0.29653169652606914
2,0.002,0.06,0.29653169652606914
2,0.002,0.07,0.29653169652606914
2,0.002,0.08,0.29653169652606914
2,0.002,0.09,0.29653169652606914
2,0.002,0.1,0.29653169652606914
2,0.003,0.01,0.29653169652606914
2,0.003,0.02,0.29653169652606914
2,0.003,0.03,0.29653169652606914
2,0.003,0.04,0.29653169652606914
2,0.003,0.05,0.29653169652606914
2,0.003,0.06,0.29653169652606914
2,0.003,0.07,0.29653169652606914
2,0.003,0.08,0.29653169652606914
2,0.003,0.09,0.29653169652606914
2,0.003,0.1,0.29653169652606914
2,0.004,0.01,0.29653169652606914
2,0.004,0.02,0.29653169652606914
2,0.004,0.03,0.29653169652606914
2,0.004,0.04,0.29653169652606914
2,0.004,0.05,0.29653169652606914
2,0.004,0.06,0.29653169652606914
2,0.004,0.07,0.29653169652606914
2,0.004,0.08,0.29653169652606914
2,0.004,0.09,0.29653169652606914
2,0.004,0.1,0.29653169652606914
2,0.005,0.01,0.29653169652606914
2,0.005,0.02,0.29653169652606914
2,0.005,0.03,0.29653169652606914
2,0.005,0.04,0.29653169652606914
2,0.005,0.05,0.29653169652606914
2,0.005,0.06,0.29653169652606914
2,0.005,0.07,0.29653169652606914
2,0.005,0.08,0.29653169652606914
2,0.005,0.09,0.29653169652606914
2,0.005,0.1,0.29653169652606914
2,0.006,0.01,0.29653169652606914
2,0.006,0.02,0.29653169652606914
2,0.006,0.03,0.29653169652606914
2,0.006,0.04,0.29653169652606914
2,0.006,0.05,0.29653169652606914
2,0.006,0.06,0.29653169652606914
2,0.006,0.07,0.29653169652606914
2,0.006,0.08,0.29653169652606914
2,0.006,0.09,0.29653169652606914
2,0.006,0.1,0.29653169652606914
