word1,word2,freq
armament,war,1182598
armament,state,1144755
armament,president,936650
armament,government,902572
armament,world,828824
armament,peace,602890
armament,nation,526965
armament,policy,476598
armament,time,456076
armament,decision,437528
armament,year,408941
armament,power,407223
armament,people,400693
armament,house,389103
armament,russia,344826
armament,communist,344525
armament,secretary,334936
armament,truman,316758
armament,way,285995
armament,day,285892
armament,country,283305
armament,force,281399
economy,war,277573
armament,aggression,271125
armament,action,270825
armament,union,260225
armament,control,259288
armament,security,255558
armament,order,255089
armament,acheson,253911
economy,state,251690
armament,meeting,250698
economy,policy,241168
economy,president,237194
armament,asia,234061
armament,macarthur,232543
nation,president,223654
armament,member,215914
armament,hour,215047
armament,council,213420
armament,resolution,209749
armament,today,208167
armament,defense,207579
armament,support,204291
armament,mr.,203274
armament,department,201310
armament,thing,199418
armament,aid,186048
armament,korea,181742
armament,army,181586
armament,europe,178870
armament,suggestion,176871
armament,leader,176471
armament,johnson,175665
armament,effort,175525
armament,use,174974
armament,revolution,172406
armament,troop,171153
armament,home,170927
armament,staff,164605
armament,pact,163043
armament,china,162909
economy,people,162427
armament,energy,160763
armament,plane,157943
armament,term,155918
armament,conference,155917
armament,russian,154875
armament,point,153649
armament,problem,152267
armament,agreement,151414
armament,situation,149855
nation,energy,148672
armament,night,147975
armament,program,147259
armament,plan,147061
armament,adviser,147039
armament,discussion,146969
armament,communism,146395
armament,assistance,146046
armament,life,142313
armament,area,141495
nation,war,139358
economy,government,138639
armament,risk,138601
armament,demand,137625
armament,alliance,137032
economy,world,135734
armament,attack,135124
armament,line,135080
economy,peace,134948
armament,question,133513
armament,nothing,132722
armament,strength,132684
armament,interest,131139
armament,part,131096
economy,nation,129878
nation,state,127669
armament,service,127420
armament,pace,127144
armament,japan,127022
armament,ally,125882
armament,hand,125018
armament,treaty,124968
armament,affair,124685
armament,philippine,124073
armament,bomb,123592
armament,committee,122923
armament,washington,121199
armament,morning,120530
armament,statement,120493
armament,kremlin,120165
armament,others,119967
armament,work,119888
nation,bomb,119130
armament,word,119012
armament,representative,118072
armament,blair,117110
armament,korean,117110
armament,america,116812
armament,congress,116239
armament,afternoon,115659
armament,system,114893
economy,conference,114510
armament,stalin,113784
armament,production,113423
armament,press,113360
armament,fact,112396
economy,time,111888
economy,department,111534
armament,price,111488
economy,secretary,110374
armament,report,110169
armament,men,108462
armament,air,107746
armament,note,107679
armament,end,106202
armament,chairman,105090
armament,step,103948
armament,idea,103317
armament,commission,102387
professor,president,102310
armament,independence,100878
economy,day,100397
armament,june,99388
economy,year,99274
armament,authority,98381
armament,party,98047
armament,city,97843
armament,contradiction,97834
armament,place,97306
armament,resource,97224
nation,mr.,97112
armament,ground,97108
armament,supply,96771
armament,danger,95271
armament,combat,93688
armament,collins,93688
armament,conflict,93057
armament,moscow,92928
armament,pacific,92360
armament,economy,92096
economy,statement,91741
nation,policy,91699
armament,call,91541
nation,commission,90896
armament,division,90023
economy,mr.,89168
economy,bomb,87946
armament,commitment,86821
armament,threat,86820
armament,dinner,86537
economy,agreement,86472
armament,view,85755
armament,matter,85729
armament,intelligence,84860
nation,day,83485
armament,man,83475
armament,p.m.,83117
armament,telephone,82713
armament,week,82469
armament,bolshevik,82326
armament,responsibility,82175
armament,monday,81977
armament,formosa,81977
nation,people,81861
economy,energy,81649
nation,world,81600
armament,invasion,81506
armament,event,81440
armament,reason,80565
economy,russia,80331
armament,official,80097
economy,country,79672
armament,group,79455
armament,minute,79386
professor,people,78700
