Term,Frequency
said,63
told,41
made,40
know,35
make,33
asked,31
made,27
went,26
done,21
take,20
came,20
agreed,20
given,19
wanted,19
taken,18
think,18
took,18
believe,17
proposed,16
say,16
thought,16
take,16
saw,15
left,15
get,15
held,15
want,15
making,14
russia,14
used,13
