Term,Frequency
soviet,138
united,100
foreign,91
other,89
american,81
military,72
atomic,70
new,62
first,61
such,52
i,52
many,49
own,48
more,46
few,44
general,42
international,40
great,39
russian,34
national,31
last,30
same,30
communist,30
political,29
little,27
public,25
economic,24
free,24
most,24
possible,24
