Term,Frequency
the,3625
of,1840
to,1488
and,1130
in,977
a,892
that,659
was,488
it,440
is,437
i,428
for,408
be,379
not,343
on,325
as,321
with,308
our,300
he,295
we,294
by,273
had,265
at,265
would,248
were,208
have,206
this,206
his,198
from,188
they,186
