Term,Frequency
soviet,138
foreign,91
united,88
american,81
military,72
atomic,68
new,62
many,49
first,46
general,41
international,40
great,39
communist,36
russian,36
national,31
public,30
last,30
political,29
little,28
japanese,28
free,26
much,25
economic,24
possible,24
necessary,24
chinese,23
high,22
western,22
present,21
whole,20
