word1,word2,freq
armament,state,2451118
armament,war,2420496
armament,president,1919718
armament,government,1846057
armament,soviet,1812276
armament,world,1697397
armament,make,1662025
armament,communist,1453745
armament,american,1378436
armament,united,1340479
armament,peace,1302713
foreign,president,1130023
armament,say,1108299
armament,nation,1071419
foreign,state,1028083
armament,new,1027960
armament,first,1013044
armament,korea,1011513
armament,russia,1005475
armament,policy,970809
foreign,war,965854
armament,time,957648
armament,russian,945687
foreign,atomic,911322
armament,decision,897579
foreign,mr.,868375
foreign,make,846645
armament,year,836878
armament,korean,836697
foreign,soviet,835823
armament,power,832323
foreign,policy,821778
armament,people,820922
armament,take,819273
armament,military,816310
armament,house,798618
armament,mr.,769928
armament,great,769612
armament,come,765844
armament,truman,755428
armament,give,739570
foreign,say,728169
armament,acheson,716575
armament,go,706355
armament,force,699127
armament,secretary,685797
armament,even,685348
armament,general,684510
armament,use,676995
armament,macarthur,670472
armament,asia,659220
armament,chinese,646638
foreign,people,640968
armament,south,637813
armament,foreign,633408
foreign,american,629952
armament,far,625100
armament,know,621018
armament,tell,611745
foreign,bomb,608883
armament,north,606838
armament,call,601482
armament,atomic,599898
armament,order,596823
armament,think,592447
armament,free,589617
armament,way,585835
armament,day,583878
armament,country,578173
foreign,energy,573025
armament,work,559860
armament,aggression,555177
armament,action,554247
foreign,nation,552082
armament,control,549261
foreign,united,542017
armament,meeting,531997
armament,union,530814
armament,security,524391
armament,china,519380
armament,end,514095
foreign,moscow,508091
armament,support,507002
armament,un,505575
foreign,use,500597
armament,europe,497198
armament,aid,496389
foreign,world,490870
foreign,take,484790
foreign,secretary,482552
foreign,government,480072
armament,council,479965
foreign,council,475107
foreign,know,464317
foreign,report,462960
foreign,russia,462378
armament,present,462103
armament,still,458701
armament,ask,458154
armament,get,456507
foreign,day,454827
foreign,tell,454585
armament,japanese,451881
armament,japan,451518
foreign,peace,446987
armament,troop,443841
armament,back,442810
armament,many,441857
armament,hour,441475
armament,member,441023
armament,national,440308
foreign,time,438835
armament,report,437660
armament,last,436357
armament,later,433863
armament,moscow,433499
armament,possible,433430
armament,see,433192
foreign,many,431887
armament,resolution,430252
armament,army,429164
armament,well,427839
armament,plan,426850
armament,pacific,426581
armament,defense,426119
armament,international,425649
armament,today,425149
foreign,first,422957
armament,whole,417583
foreign,russian,417093
foreign,work,417027
foreign,conference,416151
armament,department,410341
armament,include,409202
foreign,think,408333
armament,thing,408273
foreign,department,407025
armament,send,406280
armament,want,397830
foreign,agree,397782
armament,home,395396
armament,white,393391
armament,washington,389407
foreign,ask,389151
armament,revolution,387987
foreign,even,386815
armament,johnson,385200
armament,america,384565
foreign,statement,383289
armament,stalin,380411
armament,point,380183
armament,put,379533
foreign,give,375717
armament,hold,374660
armament,demand,372905
armament,kremlin,367452
armament,long,367219
foreign,molotov,365543
armament,suggestion,365369
armament,yet,363188
armament,leader,362504
armament,meet,359844
foreign,general,358959
armament,effort,358397
armament,necessary,357394
foreign,new,357072
armament,attack,354188
armament,pace,353869
foreign,year,347238
foreign,go,343919
armament,term,342383
armament,p.m.,341650
foreign,commission,340640
armament,arm,338402
