Term,Frequency
soviet,197
american,130
new,127
russian,77
red,76
many,76
german,72
political,52
old,44
great,42
good,41
industrial,40
little,35
first,33
military,33
much,33
last,32
rumanian,32
certain,29
japanese,29
general,28
polish,27
able,26
nazi,25
foreign,24
east,23
united,23
large,23
germany,22
hard,22
