Term,Frequency
대하,176
위하,110
말하,96
그러,78
가지,73
관하,41
의하,35
모르,32
나오,31
그리,30
취하,27
이르,26
지나,22
만들,21
보이,19
끝나,19
통하,19
나타나,18
버리,17
일어나,17
돌아오,15
말미암,14
그리하,13
알리,13
보내,13
내리,13
다그,12
전하,11
들어가,11
해지,11
