Term,Frequency
이,1245
하,503
있,459
있,373
되,283
않,245
대하,176
위하,110
보,96
말하,96
오,81
그러,78
가지,73
알,72
녀,58
받,50
지,48
가,46
아니,42
관하,41
슬,39
의하,35
모르,32
말,31
나오,31
그리,30
나,28
취하,27
이르,26
주,25
