Term,Frequency
war,171
states,119
world,79
government,64
peace,54
nations,53
president,50
union,44
time,42
years,41
mr,40
japan,37
program,36
russia,35
policy,34
people,33
men,32
molotov,30
commission,29
europe,27
forces,27
country,26
agreement,26
proposal,26
countries,25
surrender,25
today,24
freedom,24
council,22
terms,21
