Term,Frequency
is,320
be,244
was,220
had,139
are,138
has,102
have,97
been,88
were,88
have,44
said,36
made,26
did,25
make,24
being,19
does,18
i,17
made,16
do,15
give,13
believe,13
wanted,12
do,12
came,11
established,11
take,11
agreed,11
told,11
based,10
become,10
