Term,Frequency
war,171
states,115
i,98
world,79
government,64
peace,60
nations,53
president,50
union,44
japan,43
europe,42
time,42
years,41
mr,40
program,36
china,35
policy,34
russia,34
people,33
molotov,33
men,32
commission,29
forces,27
country,26
agreement,26
proposal,26
freedom,26
surrender,26
britain,25
countries,25
