Term,Frequency
war,159
one,144
soviet,138
president,130
mr,103
united,100
policy,95
foreign,91
world,91
state,89
russia,84
states,81
american,81
first,75
peace,74
people,74
military,73
us,73
atomic,73
government,72
made,67
said,63
two,62
new,62
secretary,60
may,59
even,56
time,56
moscow,56
nations,55
