Term,Frequency
이,924
있,338
하,281
있,226
되,169
대하,153
않,121
보,78
위하,75
알,48
그러,48
가지,43
의하,36
녀,32
관하,30
말하,30
받,26
오,23
믿,21
그리,21
샬,20
이르,18
보이,18
지,18
아니,17
들,16
통하,16
가,15
비하,14
말,14
