Term,Frequency
어떻,57
이러하,50
그렇,46
그러하,38
새롭,30
어떠하,24
만하,19
안되,17
이렇,16
가깝,15
없다,15
다르,14
파랗,13
어렵,13
조그맣,8
어리,7
무섭,6
나쁘,5
드물,5
비싸,5
어리석,4
힘차,4
놀랍,4
값싸,4
더럽,4
힘들,4
어둡,4
지나치,4
빠르,4
기쁘,4
