Topics,Alpha,Eta,Coherence
6,0.81,0.6100000000000001,0.27432432212482466
6,0.81,0.81,0.2740295748510441
7,0.01,0.01,0.2655402735302073
7,0.01,0.21000000000000002,0.2701138155182365
7,0.01,0.41000000000000003,0.27148057493114935
7,0.01,0.6100000000000001,0.2706828659419355
7,0.01,0.81,0.274261031232227
7,0.21000000000000002,0.01,0.2655402735302073
7,0.21000000000000002,0.21000000000000002,0.2701138155182365
7,0.21000000000000002,0.41000000000000003,0.27148057493114935
7,0.21000000000000002,0.6100000000000001,0.2706828659419355
7,0.21000000000000002,0.81,0.274261031232227
7,0.41000000000000003,0.01,0.2655402735302073
7,0.41000000000000003,0.21000000000000002,0.2701138155182365
7,0.41000000000000003,0.41000000000000003,0.27148057493114935
7,0.41000000000000003,0.6100000000000001,0.2706828659419355
7,0.41000000000000003,0.81,0.274261031232227
7,0.6100000000000001,0.01,0.2655402735302073
7,0.6100000000000001,0.21000000000000002,0.2701138155182365
7,0.6100000000000001,0.41000000000000003,0.27148057493114935
7,0.6100000000000001,0.6100000000000001,0.2706828659419355
7,0.6100000000000001,0.81,0.274261031232227
7,0.81,0.01,0.2655402735302073
7,0.81,0.21000000000000002,0.2701138155182365
7,0.81,0.41000000000000003,0.2679417083069618
7,0.81,0.6100000000000001,0.2706828659419355
7,0.81,0.81,0.274261031232227
8,0.01,0.01,0.2676871953748408
8,0.01,0.21000000000000002,0.2682378815783222
8,0.01,0.41000000000000003,0.268606381335353
8,0.01,0.6100000000000001,0.2687411726521847
8,0.01,0.81,0.27248206036420797
8,0.21000000000000002,0.01,0.2676871953748408
8,0.21000000000000002,0.21000000000000002,0.2682378815783222
8,0.21000000000000002,0.41000000000000003,0.268606381335353
8,0.21000000000000002,0.6100000000000001,0.26874117265218467
8,0.21000000000000002,0.81,0.27248206036420797
8,0.41000000000000003,0.01,0.2676871953748408
8,0.41000000000000003,0.21000000000000002,0.2682378815783222
8,0.41000000000000003,0.41000000000000003,0.268606381335353
8,0.41000000000000003,0.6100000000000001,0.26874117265218467
8,0.41000000000000003,0.81,0.27248206036420797
8,0.6100000000000001,0.01,0.2676871953748408
8,0.6100000000000001,0.21000000000000002,0.2682378815783222
8,0.6100000000000001,0.41000000000000003,0.268606381335353
8,0.6100000000000001,0.6100000000000001,0.26874117265218467
8,0.6100000000000001,0.81,0.27248206036420797
8,0.81,0.01,0.26548561984567987
8,0.81,0.21000000000000002,0.2682378815783222
8,0.81,0.41000000000000003,0.268606381335353
8,0.81,0.6100000000000001,0.26874117265218467
8,0.81,0.81,0.27248206036420797
9,0.01,0.01,0.26914923400845936
