Term,Frequency
하,1986
이,1670
는,1397
의,1342
ㄴ,1174
에,1072
을,967
다,950
은,808
것,778
있,567
고,525
ㄹ,489
되,482
를,443
가,331
들,315
그,309
었,300
여,233
으로,229
지,215
로,214
미국,214
도,208
우리,207
과,195
수,189
에서,180
게,175
