Term,Frequency
것,1039
미국,289
수,276
소련,243
대통령,134
스탈린,105
사람,104
일,104
문제,103
정부,100
때,96
전쟁,90
국민,87
세계,86
정책,81
생각,79
코,78
말,75
국가,75
때문,73
계획,69
전,68
결정,65
일본,63
중국,63
원조,63
바,61
러시아,61
외교,59
사실,59
